Question,Option A,Option B,Option C,Option D,Correct Option
Which empire built the Colosseum?,Roman Empire,Berlin,Oxygen,Lincoln,A
What is the capital of France?,London,Oxygen,Amazon,Paris,D
What is 17 - 16?,1,67,60,29,A
What gas do plants absorb from the atmosphere?,Oxygen,London,Lincoln,Carbon Dioxide,D
Which continent is the Sahara Desert located in?,Africa,Amazon,Oxygen,Asia,A
What is 6 × 8?,42,48,4,8,B
Which continent is the Sahara Desert located in?,Oxygen,Einstein,Amazon,Africa,D
What is 7 - 4?,10,26,3,35,C
Which continent is the Sahara Desert located in?,Asia,Water,Africa,Jupiter,C
What is the longest river in the world?,Einstein,Amazon,London,Nile,D
What is 7 × 18?,80,38,126,56,C
What is the longest river in the world?,Jupiter,Nile,Lincoln,Water,B
What is the longest river in the world?,Asia,Berlin,Water,Nile,D
Who was the first President of the United States?,Lincoln,Einstein,Berlin,George Washington,D
Which continent is the Sahara Desert located in?,Amazon,Berlin,Oxygen,Africa,D
What is 7 - 12?,17,-5,98,49,B
What is the longest river in the world?,Venus,Einstein,Oxygen,Nile,D
What is 5 + 12?,68,19,2,17,D
What part of the cell contains DNA?,Nucleus,Berlin,Asia,Jupiter,A
In which year did World War II end?,1945,Oxygen,London,Venus,A
